test_year,model,test_ic,alpha,val_ic,num_leaves,best_iter,epochs_run,best_epoch,n_train_seq
2006,zero,0.0,,,,,,,
2006,rev1,-0.0329,,,,,,,
2006,mom20,0.0165,,,,,,,
2006,ridge,0.0153,1000.0,0.039,,,,,
2006,lgbm,-0.0055,,0.0513,7.0,17.0,,,
2006,lstm,-0.0186,,-0.007,,,4.0,2.0,31464.0
2007,zero,0.0,,,,,,,
2007,rev1,0.0033,,,,,,,
2007,mom20,0.0129,,,,,,,
2007,ridge,0.0396,1000.0,0.0147,,,,,
2007,lgbm,0.0201,,0.0118,31.0,12.0,,,
2007,lstm,-0.0053,,-0.0243,,,3.0,1.0,35244.0
2008,zero,0.0,,,,,,,
2008,rev1,0.0644,,,,,,,
2008,mom20,-0.0165,,,,,,,
2008,ridge,-0.0177,10000.0,0.0634,,,,,
2008,lgbm,-0.0311,,0.0693,31.0,45.0,,,
2008,lstm,0.0201,,0.0376,,,5.0,3.0,39281.0
2009,zero,0.0,,,,,,,
2009,rev1,0.0111,,,,,,,
2009,mom20,-0.0275,,,,,,,
2009,ridge,0.0107,100000.0,0.0127,,,,,
2009,lgbm,0.0423,,-0.0141,7.0,5.0,,,
2009,lstm,-0.0108,,0.0261,,,4.0,2.0,43548.0
2010,zero,0.0,,,,,,,
2010,rev1,0.0048,,,,,,,
2010,mom20,0.0132,,,,,,,
2010,ridge,0.039,1.0,0.0148,,,,,
2010,lgbm,0.0214,,0.0227,31.0,13.0,,,
2010,lstm,-0.032,,0.022,,,3.0,1.0,47849.0
2011,zero,0.0,,,,,,,
2011,rev1,0.024,,,,,,,
2011,mom20,-0.0137,,,,,,,
2011,ridge,0.0437,1.0,0.0412,,,,,
2011,lgbm,0.0372,,0.11,31.0,70.0,,,
2011,lstm,0.0073,,0.0227,,,7.0,5.0,52133.0
2012,zero,0.0,,,,,,,
2012,rev1,0.0024,,,,,,,
2012,mom20,0.0197,,,,,,,
2012,ridge,0.0103,100000.0,0.0494,,,,,
2012,lgbm,0.0266,,0.0536,7.0,185.0,,,
2012,lstm,0.0127,,0.0229,,,3.0,1.0,56417.0
2013,zero,0.0,,,,,,,
2013,rev1,0.0245,,,,,,,
2013,mom20,-0.0314,,,,,,,
2013,ridge,0.0185,10000.0,0.012,,,,,
2013,lgbm,0.0045,,0.0214,7.0,1.0,,,
2013,lstm,-0.0253,,0.0618,,,10.0,8.0,60903.0
2014,zero,0.0,,,,,,,
2014,rev1,-0.0052,,,,,,,
2014,mom20,-0.0288,,,,,,,
2014,ridge,0.0174,100000.0,0.0265,,,,,
2014,lgbm,-0.0065,,0.0355,31.0,10.0,,,
2014,lstm,0.0124,,0.0231,,,5.0,3.0,65478.0
2015,zero,0.0,,,,,,,
2015,rev1,-0.0214,,,,,,,
2015,mom20,0.0002,,,,,,,
2015,ridge,0.0507,100000.0,0.0154,,,,,
2015,lgbm,0.0362,,,7.0,1.0,,,
2015,lstm,0.0008,,0.0149,,,3.0,1.0,70266.0
2016,zero,0.0,,,,,,,
2016,rev1,0.0257,,,,,,,
2016,mom20,0.0036,,,,,,,
2016,ridge,0.0069,10000.0,0.055,,,,,
2016,lgbm,-0.0203,,0.0337,7.0,198.0,,,
2016,lstm,-0.002,,0.054,,,4.0,2.0,75054.0
2017,zero,0.0,,,,,,,
2017,rev1,-0.0294,,,,,,,
2017,mom20,0.0006,,,,,,,
2017,ridge,0.0257,100000.0,0.0147,,,,,
2017,lgbm,-0.0126,,-0.0009,31.0,3.0,,,
2017,lstm,-0.005,,0.004,,,7.0,5.0,80086.0
