model,ticker,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
zero,AAPL,3020,,,,0.5248838752488387,0.507034975090934,0.5426694229132554,0.006637427552068545,0.5248838752488387,1.0,0.0,0.0
zero,AMD,3020,,,,0.49264454327745466,0.47454165043959456,0.5107667447943669,0.437254875820156,0.49264454327745466,1.0,0.0,0.0
zero,AMZN,3020,,,,0.5116124751161247,0.49376319673485747,0.529432189000431,0.20880693623497842,0.5116124751161247,1.0,0.0,0.0
zero,BABA,767,,,,0.5052356020942408,0.46984498568643845,0.5405738298609347,0.8000941878893293,0.5052356020942408,1.0,0.0,0.0
zero,BAC,3020,,,,0.5030343897505057,0.48504790767160505,0.5210130216385642,0.7549325429635556,0.5030343897505057,1.0,0.0,0.0
zero,BBY,3020,,,,0.5138471805138471,0.49594654571316604,0.5317123617080052,0.1341568349282374,0.5138471805138471,1.0,0.0,0.0
zero,FB,1354,,,,0.5374907201187825,0.5107950372115313,0.5639731665512193,0.006415181834633134,0.5374907201187825,1.0,0.0,0.0
zero,GE,3020,,,,0.5058863101244534,0.4879182249858812,0.5238392027522961,0.5329205782802118,0.5058863101244534,1.0,0.0,0.0
zero,GM,1731,,,,0.5125510799766492,0.4888788081168734,0.5361671833129709,0.310211463878858,0.5125510799766492,1.0,0.0,0.0
zero,GOOG,3020,,,,0.5110963895329579,0.4932621299916408,0.5289024452212978,0.22967109758285675,0.5110963895329579,1.0,0.0,0.0
zero,JPM,3020,,,,0.5096537949400799,0.4917758598854865,0.5275070704390358,0.2983482117622074,0.5096537949400799,1.0,0.0,0.0
zero,MA,2861,,,,0.5402943237561317,0.5219678243156493,0.5585124934178459,1.7969306653124297e-05,0.5402943237561317,1.0,0.0,0.0
zero,PFE,3020,,,,0.49949511948838776,0.48152801173728843,0.5174635312073846,0.9707309165804525,0.49949511948838776,1.0,0.0,0.0
zero,RRC,3020,,,,0.4948350549816728,0.4769647610629428,0.5127185553554668,0.5839524144950876,0.4948350549816728,1.0,0.0,0.0
zero,SBUX,3020,,,,0.5021673891297099,0.48428098170124306,0.5200482509828918,0.8265567682103636,0.5021673891297099,1.0,0.0,0.0
zero,SHLD,3020,,,,0.480346435709527,0.46251047461489003,0.4982326330724879,0.032710610867612205,0.480346435709527,1.0,0.0,0.0
zero,T,3020,,,,0.5263511245384357,0.5083984337557953,0.5442359401244671,0.004253108154665355,0.5263511245384357,1.0,0.0,0.0
zero,UAA,2989,,,,0.5142953245879582,0.49632247772941673,0.5322312753490136,0.12340669013618805,0.5142953245879582,1.0,0.0,0.0
