model,test_year,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
zero,2006,4077,,,,0.4982698961937716,0.4828721139436191,0.5136709607287335,0.8380626460712406,0.4982698961937716,1.0,0.0,0.0
zero,2007,4267,,,,0.5092111478507322,0.4941512878493956,0.5242543080558407,0.23666452438936847,0.5092111478507322,1.0,0.0,0.0
zero,2008,4301,,,,0.46975005839757067,0.4548333072387968,0.4847210510833405,8.003253652532163e-05,0.46975005839757067,1.0,0.0,0.0
zero,2009,4284,,,,0.5143327067669173,0.4993108072199606,0.5293287553402999,0.06361977319456381,0.5143327067669173,1.0,0.0,0.0
zero,2010,4284,,,,0.517541794207676,0.5025041606228192,0.5325477218091209,0.023134668853093485,0.517541794207676,1.0,0.0,0.0
zero,2011,4506,,,,0.5108573987015894,0.4961949831593381,0.5255011556615944,0.15089187070695834,0.5108573987015894,1.0,0.0,0.0
zero,2012,4595,,,,0.5099934109378432,0.495470307585116,0.5244996645991268,0.18226018644446865,0.5099934109378432,1.0,0.0,0.0
zero,2013,4788,,,,0.5286919831223629,0.5144636140030752,0.5428738822573396,8.242723409885707e-05,0.5286919831223629,1.0,0.0,0.0
zero,2014,4800,,,,0.5167898627243929,0.5025482082824625,0.5310042953504929,0.021658391479110185,0.5167898627243929,1.0,0.0,0.0
zero,2015,5040,,,,0.4990972918756269,0.48522322599366974,0.5129727479975671,0.9097885130899473,0.4990972918756269,1.0,0.0,0.0
zero,2016,5040,,,,0.5198960207958409,0.5060391244670299,0.5337223736790853,0.005107377937313074,0.5198960207958409,1.0,0.0,0.0
zero,2017,5020,,,,0.5255225080385852,0.5116335935914136,0.5393720448208605,0.0003341304662553621,0.5255225080385852,1.0,0.0,0.0
zero,ALL,55002,,,,0.5104455164065222,0.5062487939340653,0.5146407669812295,1.0942356163603169e-06,0.5104455164065222,1.0,0.0,0.0
rev1,2006,4077,-0.03294949072492939,-0.030010765962158105,-1.5844724681607614,0.49604547701433516,0.48065019389575897,0.51144826249819,0.626009556441576,0.4982698961937716,0.789270731200857,0.5209713024282561,
rev1,2007,4267,0.0033279947825045455,-0.05597814111818673,-3.187279021367662,0.5146433632498819,0.499582478075438,0.5296777000303222,0.058705661213440286,0.5092111478507322,0.4891371931972456,0.5151160065619873,
rev1,2008,4301,0.06440585233608291,0.00585092861760907,0.30340295909654075,0.5225414622751694,0.5075651893864216,0.5374773158021017,0.0033365744430081824,0.46975005839757067,4.804521392594693e-12,0.544989537316903,
rev1,2009,4284,0.011077731718543189,0.02095353427398859,1.1013296171783487,0.5035244360902256,0.48850649160898224,0.5185360237746884,0.6566673704561697,0.5143327067669173,0.1583434096774134,0.4981325863678805,
rev1,2010,4284,0.004801860553408879,-0.012395784449239064,-0.6545786816074672,0.5057687779609136,0.49073353851233437,0.5207935906095789,0.4614022703188616,0.517541794207676,0.12471513541826676,0.4988328664799253,
