test_year,model,test_ic,alpha,val_ic,num_leaves,best_iter,epochs_run,best_epoch,n_train_seq
2015,zero,0.0,,,,,,,
2015,rev1,0.0246,,,,,,,
2015,mom20,-0.0235,,,,,,,
2015,ridge,0.0614,100000.0,0.0164,,,,,
2015,lgbm,0.0448,,0.0334,7.0,2.0,,,
2015,lstm,0.0325,,0.0365,,,5.0,3.0,67735.0
2016,zero,0.0,,,,,,,
2016,rev1,0.0446,,,,,,,
2016,mom20,0.0057,,,,,,,
2016,ridge,0.0356,100000.0,0.0607,,,,,
2016,lgbm,0.0117,,0.0864,31.0,4.0,,,
2016,lstm,-0.0128,,0.0204,,,6.0,4.0,75547.0
2017,zero,0.0,,,,,,,
2017,rev1,0.0019,,,,,,,
2017,mom20,-0.0021,,,,,,,
2017,ridge,0.0091,100000.0,0.0322,,,,,
2017,lgbm,0.0177,,0.0512,7.0,2.0,,,
2017,lstm,0.0182,,0.0053,,,4.0,2.0,83359.0
2018,zero,0.0,,,,,,,
2018,rev1,-0.0044,,,,,,,
2018,mom20,-0.0309,,,,,,,
2018,ridge,-0.0186,10000.0,0.0166,,,,,
2018,lgbm,-0.0131,,0.0351,7.0,64.0,,,
2018,lstm,-0.0105,,0.0312,,,5.0,3.0,91171.0
2019,zero,0.0,,,,,,,
2019,rev1,0.0334,,,,,,,
2019,mom20,-0.0479,,,,,,,
2019,ridge,0.0092,100000.0,-0.013,,,,,
2019,lgbm,0.0483,,0.0134,31.0,1.0,,,
2019,lstm,0.0347,,-0.0095,,,4.0,2.0,98952.0
2020,zero,0.0,,,,,,,
2020,rev1,0.1294,,,,,,,
2020,mom20,-0.0138,,,,,,,
2020,ridge,0.1314,10000.0,0.0067,,,,,
2020,lgbm,0.0014,,0.0304,31.0,42.0,,,
2020,lstm,0.0127,,0.0466,,,6.0,4.0,106733.0
2021,zero,0.0,,,,,,,
2021,rev1,0.0205,,,,,,,
2021,mom20,-0.0279,,,,,,,
2021,ridge,-0.0012,100000.0,0.1363,,,,,
2021,lgbm,0.0282,,0.058,7.0,13.0,,,
2021,lstm,0.0066,,0.0225,,,7.0,5.0,114545.0
2022,zero,0.0,,,,,,,
2022,rev1,-0.0345,,,,,,,
2022,mom20,0.0137,,,,,,,
2022,ridge,-0.0177,10000.0,-0.0028,,,,,
2022,lgbm,0.0529,,0.0343,31.0,45.0,,,
2022,lstm,0.0017,,0.0327,,,4.0,2.0,122388.0
2023,zero,0.0,,,,,,,
2023,rev1,-0.0323,,,,,,,
2023,mom20,-0.0072,,,,,,,
2023,ridge,-0.0407,10000.0,-0.0194,,,,,
2023,lgbm,-0.0185,,0.0483,31.0,8.0,,,
2023,lstm,-0.0108,,0.0083,,,4.0,2.0,130200.0
2024,zero,0.0,,,,,,,
2024,rev1,-0.0139,,,,,,,
2024,mom20,-0.0113,,,,,,,
2024,ridge,-0.0255,100.0,-0.0418,,,,,
2024,lgbm,0.0033,,-0.0043,7.0,6.0,,,
2024,lstm,-0.0155,,0.0117,,,9.0,7.0,137981.0
2025,zero,0.0,,,,,,,
2025,rev1,0.0123,,,,,,,
2025,mom20,-0.0184,,,,,,,
2025,ridge,0.0123,1.0,-0.0228,,,,,
2025,lgbm,0.0291,,0.0281,31.0,69.0,,,
2025,lstm,0.0327,,0.0047,,,3.0,1.0,145731.0
