model,ticker,n,ic_pooled,cs_ic_mean,cs_ic_t,hit_rate,hit_ci_lo,hit_ci_hi,hit_p_vs_50,up_rate,hit_p_vs_uprate,share_long,r2_oos
zero,AAPL,2766,,,,0.532608695652174,0.5139619885805222,0.5511647538492901,0.0006536902722693998,0.532608695652174,1.0,0.0,0.0
zero,AMZN,2766,,,,0.5347574221578566,0.516119889493047,0.553298402574004,0.00027728351063610954,0.5347574221578566,1.0,0.0,0.0
zero,BA,2766,,,,0.5117710974284679,0.49312225921227965,0.5303872250200178,0.2232177746776774,0.5117710974284679,1.0,0.0,0.0
zero,BAC,2766,,,,0.5157393850658858,0.4969903957922735,0.5344441726418054,0.10388608751477955,0.5157393850658858,1.0,0.0,0.0
zero,CAT,2766,,,,0.5227930535455861,0.5041532181298799,0.5413696181480344,0.017409383380953835,0.5227930535455861,1.0,0.0,0.0
zero,CSCO,2766,,,,0.5301424917793204,0.511415178964612,0.548785308360157,0.001714917854552497,0.5301424917793204,1.0,0.0,0.0
zero,CVX,2766,,,,0.5226531351939109,0.5039963696959215,0.5412469044751349,0.01822309355631776,0.5226531351939109,1.0,0.0,0.0
zero,DIS,2766,,,,0.5030830612985129,0.48442798762999606,0.5217295550555386,0.7605854415852935,0.5030830612985129,1.0,0.0,0.0
zero,GE,2766,,,,0.5118916941090377,0.4931475562144921,0.5306024481701241,0.22086149927254417,0.5118916941090377,1.0,0.0,0.0
zero,GOOG,2766,,,,0.5404916847433117,0.5218757895137373,0.5589952610185388,2.212404993230488e-05,0.5404916847433117,1.0,0.0,0.0
zero,GS,2766,,,,0.5188133140376266,0.5001728366570434,0.5374015678898064,0.05007531770906914,0.5188133140376266,1.0,0.0,0.0
zero,HD,2766,,,,0.5280695400217312,0.5094222491007677,0.5466388286839415,0.0033734987783455,0.5280695400217312,1.0,0.0,0.0
zero,INTC,2766,,,,0.513641324117861,0.49495101163811145,0.532293563567378,0.15811971730620822,0.513641324117861,1.0,0.0,0.0
zero,JNJ,2766,,,,0.5222906850308082,0.5036338163042303,0.5408855654800891,0.020181321624998715,0.5222906850308082,1.0,0.0,0.0
zero,JPM,2766,,,,0.5245009074410163,0.505831276335575,0.5431023050632264,0.010668108919762347,0.5245009074410163,1.0,0.0,0.0
zero,KO,2766,,,,0.52681503101058,0.5080989646277998,0.545456038327562,0.005282979143988402,0.52681503101058,1.0,0.0,0.0
zero,MCD,2766,,,,0.5324628219078709,0.5138058105426682,0.55102949185208,0.0006961480245225269,0.5324628219078709,1.0,0.0,0.0
zero,MMM,2766,,,,0.5213923132704859,0.5027318482415114,0.539993266768705,0.025871765243279037,0.5213923132704859,1.0,0.0,0.0
zero,MRK,2766,,,,0.5160466812545588,0.49733183917330887,0.5347166227627331,0.09660660521533782,0.5160466812545588,1.0,0.0,0.0
zero,MSFT,2766,,,,0.5379861868411486,0.5193156643255412,0.5565507666155334,7.264387196014496e-05,0.5379861868411486,1.0,0.0,0.0
zero,NVDA,2766,,,,0.545816733067729,0.5271937349383949,0.5643124113811627,1.5940927747256217e-06,0.545816733067729,1.0,0.0,0.0
zero,ORCL,2766,,,,0.5375091041514931,0.5188208851634761,0.5560925207577958,9.087584257381703e-05,0.5375091041514931,1.0,0.0,0.0
zero,PEP,2766,,,,0.5247093023255814,0.5060295858440075,0.5433201300467753,0.010057332251239925,0.5247093023255814,1.0,0.0,0.0
zero,PFE,2766,,,,0.4972537532039546,0.4785183073131755,0.5159969143362245,0.7887847627514102,0.4972537532039546,1.0,0.0,0.0
zero,PG,2766,,,,0.528322440087146,0.5096516291968017,0.5469143461659604,0.0031340174722514387,0.528322440087146,1.0,0.0,0.0
zero,T,2766,,,,0.5267008046817849,0.5079607105257724,0.5453659684172314,0.005542504620260418,0.5267008046817849,1.0,0.0,0.0
zero,UNH,2766,,,,0.5269829771821803,0.5083349659683537,0.545556005579528,0.004844259022891946,0.5269829771821803,1.0,0.0,0.0
zero,VZ,2766,,,,0.5120614035087719,0.4933274536441368,0.5307615301861693,0.21398240583969722,0.5120614035087719,1.0,0.0,0.0
zero,WFC,2766,,,,0.5110868774990912,0.492404563580417,0.5297382703306143,0.252641131914112,0.5110868774990912,1.0,0.0,0.0
zero,WMT,2766,,,,0.5335023542194857,0.5148599900949843,0.5520516188738621,0.0004601564845208362,0.5335023542194857,1.0,0.0,0.0
zero,XOM,2766,,,,0.5107000362713094,0.4920382751221172,0.5293320200806212,0.2693247301014943,0.5107000362713094,1.0,0.0,0.0
rev1,AAPL,2766,0.0016672527044672412,,,0.5076086956521739,0.488959262771282,0.5262369771290076,0.43514814899266124,0.532608695652174,0.008954827142595604,0.48011569052783803,-2686.8822578301724
rev1,AMZN,2766,-0.004362943049125119,,,0.49058653149891385,0.4719686327797672,0.5092305797854064,0.33183959916764283,0.5347574221578566,3.523206098928425e-06,0.48011569052783803,-2648.650194481759
rev1,BA,2766,1.743324126082952e-05,,,0.49800796812749004,0.47937324240262646,0.5166482294965232,0.8490687769811223,0.5117710974284679,0.14801915835048354,0.5,-2228.4711049204734
rev1,BAC,2766,-0.01626005019565614,,,0.49633967789165445,0.47760915834177586,0.5150804769061128,0.7162330792693126,0.5157393850658858,0.04442700905460288,0.4967462039045553,-2556.933634751484
rev1,CAT,2766,-0.01555826659602096,,,0.49457308248914617,0.47595417239037635,0.5132070570672631,0.5812262623831187,0.5227930535455861,0.003157314271228079,0.4906001446131598,-2729.8310378362717
rev1,CSCO,2766,0.045558613123714106,,,0.5096821337230545,0.49095300506637674,0.5283841211652159,0.3202458273350266,0.5301424917793204,0.03351967420735549,0.4927693420101229,-2628.6462626438665
rev1,CVX,2766,0.012068707102452296,,,0.5041681768756796,0.48551864231765307,0.5228061201298214,0.6753416290606827,0.5226531351939109,0.0542312236680194,0.49023861171366595,-2375.8500185286016
rev1,DIS,2766,0.02305518135626092,,,0.5226695683714182,0.5040060399358443,0.5412700092224992,0.018181034995815158,0.5030830612985129,0.039712027308728214,0.5126536514822849,-2606.2153919985653
rev1,GE,2766,0.004866856608365511,,,0.5060373216245884,0.4872974736175193,0.524760220916209,0.5404720683078209,0.5118916941090377,0.5404285312671635,0.5050614605929139,-2652.8488679670736
rev1,GOOG,2766,0.011941662391944288,,,0.4960231381055676,0.4774084302319859,0.5146488773050228,0.6896837559432574,0.5404916847433117,2.917773779179511e-06,0.4732465654374548,-2716.777837821195
rev1,GS,2766,-0.006340085760501497,,,0.5007235890014472,0.4820950661186089,0.5193501032870391,0.9544966243255556,0.5188133140376266,0.05949080376043274,0.4924078091106291,-2596.1139040620383
rev1,HD,2766,0.00531518327241669,,,0.5056139080043462,0.48696963969209356,0.5242425758648482,0.5680503511456796,0.5280695400217312,0.01903434760967771,0.4880694143167028,-2556.7804090723585
rev1,INTC,2766,0.02929173492336739,,,0.4972717351764278,0.47859760109941646,0.5159534838594856,0.7894610330782343,0.513641324117861,0.08598403378589774,0.4985538684020246,-2333.9556957302816
rev1,JNJ,2766,0.019163261930331455,,,0.49800652410293583,0.4793650580542009,0.5166535338187463,0.8490147423390325,0.5222906850308082,0.0112445357910862,0.4981923355025307,-2781.0831528136996
rev1,JPM,2766,0.01456707147798504,,,0.503448275862069,0.4847860202792925,0.5221009282138721,0.7316543148186249,0.5245009074410163,0.028245321769760454,0.49023861171366595,-2561.562724164719
